canonical_name,product_count,functional_groups,mapping_evidence,mapped
정제수,224,,,False
에틸헥실글리세린,162,,,False
잔탄검,108,,,False
다이소듐이디티에이,101,,,False
아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,93,,,False
카보머,88,,,False
트로메타민,87,,,False
솔비탄올리베이트,81,,,False
암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,78,,,False
하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,78,,,False
세테아릴올리베이트,77,,,False
솔비탄아이소스테아레이트,74,,,False
시트릭애씨드,45,,,False
하이드록시아세토페논,42,,,False
글리세릴아크릴레이트/아크릴릭애씨드코폴리머,36,,,False
글리세릴카프릴레이트,35,,,False
폴리글리세릴-10라우레이트,35,,,False
폴리글리세릴-3메틸글루코오스다이스테아레이트,33,,,False
소듐파이테이트,32,,,False
덱스트린,31,,,False
소듐스테아로일글루타메이트,31,,,False
실리카,27,,,False
하이드로제네이티드폴리(C6-14올레핀),27,,,False
C12-20알킬글루코사이드,26,,,False
C14-22알코올,26,,,False
소듐폴리아크릴레이트,25,,,False
아라키딜알코올,25,,,False
피토스테롤,25,,,False
아라키딜글루코사이드,24,,,False
프룩토올리고사카라이드,22,,,False
사이아노코발아민,19,,,False
피이지-100스테아레이트,19,,,False
글리세릴스테아레이트시트레이트,18,,,False
세테아릴글루코사이드,18,,,False
칸디다 봄비콜라/글루코오스/메틸레이프씨데이트발효물,17,,,False
트라이소듐에틸렌다이아민다이석시네이트,17,,,False
프로필렌글라이콜,17,,,False
글루타믹애씨드,16,,,False
글리세릴스테아레이트에스이,16,,,False
락토바실러스발효물,16,,,False
말토덱스트린,16,,,False
소듐하이드록사이드,16,,,False
다이글리세린,15,,,False
세린,15,,,False
소듐시트레이트,15,,,False
소듐폴리아크릴로일다이메틸타우레이트,15,,,False
폴리글리세릴-10올리에이트,15,,,False
하이드롤라이즈드엘라스틴,15,,,False
에리스리톨,14,,,False
페녹시에탄올,14,,,False
폴리글리세릴-10스테아레이트,14,,,False
폴리아크릴레이트-13,14,,,False
피브이엠/엠에이코폴리머,14,,,False
베타-시토스테롤,13,,,False
폴리솔베이트60,13,,,False
"2,3-부탄다이올",12,,,False
비사보롤,12,,,False
옥틸도데칸올,12,,,False
티타늄디옥사이드,12,,,False
폴리글리세린-3,12,,,False
폴리글리세릴-3다이스테아레이트,12,,,False
C12-16알코올,11,,,False
미리스틱애씨드,11,,,False
셀룰로오스,11,,,False
알라닌,11,,,False
올레익애씨드,11,,,False
폴리글리세릴-4카프레이트,11,,,False
글리세레스-26,10,,,False
락토바실러스발효용해물,10,,,False
소듐클로라이드,10,,,False
폴리아크릴레이트크로스폴리머-6,10,,,False
폴리쿼터늄-51,10,,,False
하이드록시에틸셀룰로오스,10,,,False
하이드롤라이즈드글라이코사미노글리칸,10,,,False
마그네슘설페이트,9,,,False
미리스토일/팔미토일옥소스테아라마이드/아라카마이드엠이에이,9,,,False
솔비탄세스퀴올리에이트,9,,,False
솔비탄올리에이트,9,,,False
수크로오스스테아레이트,9,,,False
아이소도데케인,9,,,False
아이소헥사데칸,9,,,False
카프릴릴/카프릴글루코사이드,9,,,False
트라이소듐이디티에이,9,,,False
프룩토오스,9,,,False
효모발효여과물,9,,,False
히스티딘,9,,,False
글라이코리피드,8,,,False
라우릭애씨드,8,,,False
바이오사카라이드검-1,8,,,False
베타-카로틴,8,,,False
벤질글라이콜,8,,,False
부틸렌글라이콜다이카프릴레이트/다이카프레이트,8,,,False
솔비탄스테아레이트,8,,,False
