product_id,product_name,피부타입,formula_group,skin_건성,skin_민감성,skin_복합성,skin_약건성,skin_중성,skin_지성,skin_트러블성,v3_count_humectant,v3_count_emollient,v3_count_occlusive,v3_count_barrier,v3_count_soothing,v3_count_active,v3_count_fragrance,v3_count_acid_exfoliant,v3_count_silicone,v3_count_peptide,v3_count_botanical_extract,v3_count_oil_butter,v4_sensory_count_light_ester,v4_sensory_count_volatile_silicone,v4_sensory_count_nonvolatile_silicone,v4_sensory_count_hydrocarbon_occlusive,v4_sensory_count_fatty_alcohol,v4_sensory_count_plant_oil,v4_sensory_count_wax_butter,v4_sensory_count_essential_oil,v4_has_niacinamide,v4_niacinamide_top10,v4_niacinamide_prominence,v4_has_panthenol,v4_panthenol_top10,v4_panthenol_prominence,v4_has_ceramide,v4_ceramide_prominence,v4_has_salicylic,v4_salicylic_prominence,v4_has_cholesterol,v4_has_fatty_acid,v4_acid_exact_count,v4_rule_dry_hydration_completeness,v4_rule_dry_barrier_lipid_completeness,v4_rule_sensitive_recovery_system,v4_rule_sensitive_fragrance_load,v4_rule_sensitive_acid_load,v4_rule_sensitive_essential_oil_load,v4_rule_oily_niacinamide_prominence,v4_rule_oily_heavy_load,v4_rule_oily_light_system,v4_rule_trouble_niacinamide_ceramide,v4_rule_trouble_salicylic_barrier,v4_rule_acid_without_barrier_compensation,v4_evidence_support_score,v4_evidence_caution_score,v4_evidence_conflict_score
A000000002848,바이오더마 세비엄 포어 리파이너,건성,f5f6b9ab23517e277ec36cdb5c3aeb67,1,0,0,0,0,0,0,8,1,6,0,0,1,1,1,6,0,3,1,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,1,0.4375,0,0,1,0.7033183981604875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7033183981604875,0.0,0.0
A000000002848,바이오더마 세비엄 포어 리파이너,약건성,f5f6b9ab23517e277ec36cdb5c3aeb67,0,0,0,1,0,0,0,8,1,6,0,0,1,1,1,6,0,3,1,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,1,0.4375,0,0,1,0.7033183981604875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7033183981604875,0.0,0.0
A000000002848,바이오더마 세비엄 포어 리파이너,지성,f5f6b9ab23517e277ec36cdb5c3aeb67,0,0,0,0,0,1,0,8,1,6,0,0,1,1,1,6,0,3,1,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,1,0.4375,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25639747477898106,0.5471781855383192,0.0,0.0,0.0,0.0,0.0,0.0
A000000002848,바이오더마 세비엄 포어 리파이너,복합성,f5f6b9ab23517e277ec36cdb5c3aeb67,0,0,1,0,0,0,0,8,1,6,0,0,1,1,1,6,0,3,1,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,1,0.4375,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000000002848,바이오더마 세비엄 포어 리파이너,민감성,f5f6b9ab23517e277ec36cdb5c3aeb67,0,1,0,0,0,0,0,8,1,6,0,0,1,1,1,6,0,3,1,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,1,0.4375,0,0,1,0.0,0.0,0.0,0.6321205588285577,0.6321205588285577,0.0,0.0,0.0,0.0,0.0,0.0,0.6321205588285577,0.0,0.9153105691837515,0.0
A000000002848,바이오더마 세비엄 포어 리파이너,트러블성,f5f6b9ab23517e277ec36cdb5c3aeb67,0,0,0,0,0,0,1,8,1,6,0,0,1,1,1,6,0,3,1,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,1,0.4375,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6321205588285577,0.0,0.12642411176571153,0.0
A000000002848,바이오더마 세비엄 포어 리파이너,중성,f5f6b9ab23517e277ec36cdb5c3aeb67,0,0,0,0,1,0,0,8,1,6,0,0,1,1,1,6,0,3,1,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,1,0.4375,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000000010471,라로슈포제 에빠끌라 MAT 세보 컨트롤링 모이스춰라이저,건성,5d2afbc766b629825e95fa18cc3ab152,1,0,0,0,0,0,0,3,1,2,0,0,2,1,2,2,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,1,0.26086956521739135,0,0,2,0.5397221511334217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5397221511334217,0.0,0.0
A000000010471,라로슈포제 에빠끌라 MAT 세보 컨트롤링 모이스춰라이저,약건성,5d2afbc766b629825e95fa18cc3ab152,0,0,0,1,0,0,0,3,1,2,0,0,2,1,2,2,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,1,0.26086956521739135,0,0,2,0.5397221511334217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5397221511334217,0.0,0.0
A000000010471,라로슈포제 에빠끌라 MAT 세보 컨트롤링 모이스춰라이저,지성,5d2afbc766b629825e95fa18cc3ab152,0,0,0,0,0,1,0,3,1,2,0,0,2,1,2,2,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,1,0.26086956521739135,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21070685294285255,0.0,0.0,0.0,0.0,0.0,0.0
